GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gutenberg,main.dao,BookDAOMongo,0,370,0,10,0,74,0,11,0,6
gutenberg,main.dao,BookDAOMySQL,356,348,22,14,72,99,15,12,3,6
gutenberg,main.dto,Author,0,28,0,0,0,13,0,6,0,6
gutenberg,main.dto,Book,0,117,0,0,0,47,0,19,0,19
gutenberg,main.dto,Location,0,46,0,0,0,20,0,10,0,10
gutenberg,main.exception,BookNotFoundException,0,4,0,0,0,2,0,1,0,1
gutenberg,main.api,MySQLAPI,352,0,0,0,119,0,9,0,9,0
gutenberg,main.api,WebApplicationExceptionHandler,45,0,0,0,13,0,2,0,2,0
gutenberg,main.api,ErrorResponse,27,0,0,0,6,0,2,0,2,0
gutenberg,main.api,MongoAPI,194,0,0,0,66,0,6,0,6,0
gutenberg,main.api,NotFoundExceptionHandler,45,0,0,0,13,0,2,0,2,0
gutenberg,main.api,ParamExceptionHandler,45,0,0,0,13,0,2,0,2,0
gutenberg,main.util,DBConnectorMongo,0,50,0,0,0,15,0,3,0,3
gutenberg,main.util,DBConnectorMySQL,12,72,7,3,3,21,5,4,0,4
gutenberg,main.facade,BookFacadeMySQL,54,88,16,12,12,22,13,10,3,6
gutenberg,main.facade,BookFacadeMongo,0,92,4,12,0,22,4,10,0,6
